symbol,date,year,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
MHO,2013-12-31,2013,43.52203845185123,6.356435227940559,-3.10528083284359,-3.205272437242885,5.403618503903954,20.68688607169843,46.602972042649654,20.68688607169843,0.6690454201998153,5.8983272E8,4.6110772E8,3.8952650522047514,0.5689071762434148,-7.973513937329332,-7.724772382000105,1.1968935254046749,1.1968935254046749,0.44474896362012456,2.8867224260332804,-6.233375510314435,-6.038919272879669,0.2567219397391179,-0.12945365255423605,1.252778493637417,0.5561037168881331,-0.8058710105550477,11.697006806595848,9.500752917555527,-0.4885255212220072,-0.006198367564281615,-0.02414428455386566,0.07667378484580172,0.07667378484580172,0.0,-31.055415617128464,435.25692695214104,3.489084802686818,0.0022608417198601055,54.39332823156787,0.14560603875186306,0.13639549044475832,-5.973197044748551,7.51208E8,1110176000.0,2.04061E8,1427188000.0,0.0,1.008685E8,1.1932385E9,0.0,30.238724693896568,298.27466670441714,323.994375,0.0,0.0,0.3072688275030793,0.09999160439929478
MHO,2012-12-31,2012,38.771818228079994,0.6792020762302173,-2.3914813495496414,-2.438959849371533,7.404101572439061,17.069258561905247,42.30319067731922,17.069258561905247,0.8178209760317541,5.4452921E8,3.9903121E8,40.7978729302465,0.7146943647830111,-11.586960527715714,-11.361400642630613,1.623386270675078,1.623386270675078,0.5237282994599064,17.282308025466673,-8.490929035003724,-8.325638666332832,0.024511081783840392,-0.08801731683044148,1.4783261981706954,0.5965018645495008,-6.301615487894669,15.12728035227511,0.8305021467239126,-3.5210159586423915,0.0,0.0,0.08219791181315256,0.08219791181315256,0.0,-50.369774919614144,816.6184351554126,10.441586280814576,0.002275874288789285,16.150950644978156,0.017032707596891312,0.01605557560447492,-3.1760724645056233,6.7373E8,831300000.0,2.25548E8,1041354000.0,0.0,8.96005E7,1.134845E9,0.0,27.624965680758848,333.609257387167,86.58011363636363,0.0,0.0,0.03979095364728049,0.04747849982189201
MHO,2011-12-31,2011,30.293293400363677,-1.8117980532677291,-1.8162905123542625,-1.8885977109851322,3.1978286447748423,14.61921061076051,35.5377580489892,14.61921061076051,1.1127393304096695,2.1016552E8,1.5617352E8,-6.203781916934794,0.37103922150191376,-6.188437325167103,-5.951505677795713,0.7688513627217852,0.7688513627217852,0.2757184017626372,20.619688407710587,-4.598613703954536,-4.422550335570469,-0.1611919976216841,-0.16802470738301886,1.430894457655021,0.5886287877077737,-7.12859783469765,12.834714950552646,0.0,1.002479558402456,0.0,-0.0,0.0929762863155516,0.0929762863155516,0.0,-25.119082840236686,418.9526627218935,5.60207100591716,0.0032943519342400747,24.412267199298665,0.0,-0.050982339706690145,-5.160124077441438,4.88253E8,664485000.0,1.38374E8,860781000.0,0.0,8.63835E7,1.081742E9,0.0,26.5851,-364.7203,0.0,0.0,0.0,-0.12393268703127858,0.07230719863086961
MHO,2010-12-31,2010,33.2757033223229,-1.4181571515064646,-2.0137842348583557,-2.098002330573841,6.647345092015017,16.384252619736134,35.73298220865735,16.384252619736134,0.5082778020264709,2.7247825785E8,1.4934725785000002E8,-10.372616310099358,0.44206428508850915,-7.304655456811967,-7.01143167747414,0.8978133053368963,0.8978133053368963,0.2422985572952917,-11.672314017194218,-4.003733254249102,-3.843015229530133,-0.09640769214863797,-0.1426242236963862,1.1809345252412757,0.5414809622084503,9.62336850332161,,-1.9106744556558684,1.420000761353687,0.0,0.0,0.16555127787052404,0.16555127787052404,0.0,23.911538461538463,-395.11346153846154,-3.3294871794871796,0.004560520590482773,22.8647657555739,,-0.03968762369805437,-0.5292783399965503,,661894000.0,,815423000.0,0.0,8.02705E7,1.072352E9,0.0,20.719171385664673,321.8401745768545,0.0,17.616534619359282,1.1341032873844625,-0.0865561087478706,-0.08421809571548536
MHO,2009-12-31,2009,30.775721247666507,-3.3537198433040833,3.6977907966527708,3.9067604434605894,7.140174247207097,17.644327829422018,35.84493609848594,17.644327829422018,0.4571953487136433,1.9112057952E8,5.888857952000001E7,-3.0771801110950103,0.33532926546059383,2.7908555587681256,2.6415748161048223,0.5848905155112422,0.5848905155112422,0.10332254205200818,-0.7428111143066174,0.859925811831019,0.8139290337383037,-0.3249728530333414,0.3785620584748633,1.0315274373169545,0.5077595401218388,1.6679532783369913,,-9.982520373213653,-1.102593826981597,0.0,0.0,0.18092846903845783,0.18092846903845783,0.0,17.695348837209302,147.2736434108527,1.3550387596899225,0.005635591956473299,36.48860066067401,,-0.09356188651277138,0.28680679044437424,,663828000.0,,761322000.0,0.0,8.48865E7,1.0570285E9,0.0,28.214020917636553,309.9169577505763,0.0,12.936830275469134,1.1777348443570972,-0.19007353953783018,0.20896964680781854
TLYS,2013-02-02,2013,18.213712192079825,0.9312831306516994,1.6265201122544435,0.3286560648581229,0.674851886498285,4.571874025569068,8.005183972560024,4.571874025569068,0.15828656064858124,3.5687496E8,3.4353096E8,14.936381366927552,0.7637103218337182,8.552,42.323880455407966,3.042516027827036,3.042516027827036,0.7351542400773822,7.146621731261312,8.232230050323508,40.74133776091082,0.06695062046381736,0.023627323138614154,0.7509633747101351,0.42888582682916143,-0.2776009486363353,2.5652551528375027,344.94505494505495,1.7465366425312854,0.23618076202376317,3.5276859331184864,0.2542420033769108,0.2542420033769108,0.0,1.253228422127455,14.033605621959277,0.500900955012313,0.020479743885501753,9.787668568062358,0.19845233729942974,0.1163350066461844,-0.2964413782351107,7.3891E7,205381000.0,3.3013E7,144830000.0,6269500.0,2.1234E7,5.1202E7,0.0,21.01970696571385,53.63415180260867,74.534,17.364656919117245,6.805365382551776,0.20369833583412905,1.2978640473963206
TLYS,2012-01-28,2012,20.0312,1.717,2.6292,1.303,1.2546,3.021,7.041,3.0212,0.2319,456569245.32,413218245.32,9.4438,1.0572,8.6419,12.2871,5.0879,5.0879,0.9568,9.2696,7.8214,16.5758,0.1059,0.0546,0.0768,0.0329,-0.4102,1.599,0.0,1.5313,0.0,0.0,0.2352,0.0,0.0,0.3841,0.0504,-1.3349,0.0,11.5033,0.3108,0.3743,0.0472,27673000.0,140819000.0,-6552000.0,74196000.0,5453000.0,15773500.0,35017000.0,6.0177,15.3335,-49.1149,73.4685,7.7934,11.4408,0.5683,-1.0098
TLYS,2011-01-29,2011,16.6302,1.2208,2.0851,0.887,1.4669,3.105,6.549,3.1046,0.2633,456569245.32,413218245.32,9.4438,1.0572,8.6419,12.2871,5.0879,5.0879,0.9568,9.2696,7.8214,16.5758,0.1059,0.0546,0.0848,0.0402,-0.6135,1.904,100.1888,1.708,0.0,0.0,0.2335,0.0,0.0,0.3749,0.047,-1.0938,0.0,11.5033,0.2407,0.2651,0.0472,33907000.0,130974000.0,2517000.0,69410000.0,,,,4.7199,16.1505,-53.1703,,,,0.3932,-0.7817
TLYS,2010-01-30,2010,14.1382,1.0432,1.7628,0.8873,,,,,,456569245.32,413218245.32,9.4438,1.0572,8.6419,12.2871,5.0879,5.0879,0.9568,9.2696,7.8214,16.5758,0.1059,0.0546,,,,,75.4296,1.6899,0.0,0.0,0.2331,0.0,,0.4967,0.0619,-1.2584,0.0,11.5033,,,0.0472,,,,,,,,,,,,,,,-0.8756
UQM,2013-03-31,2013,0.2794,-0.1358,-0.3144,-0.268,0.3206,0.942,1.082,0.9434,0.0,52240087.9,40119238.9,0.0,5.1501,-4.5768,0.0,1.5179,1.3216,3.9552,0.0,-3.5149,-2.9624,-0.0979,-0.2592,0.0,0.0,3.2326,6.165,0.0,2.3159,0.0,0.0,0.5598,0.5966,0.0111,0.0,0.2099,-1.8056,0.092,0.0,-0.1364,-0.1433,0.4683,25025517.0,28291900.0,15907932.0,22836159.0,3699076.0,1486855.0,10781304.5,180.1886,84.7963,380.1381,2.3422,1.1152,1.5877,-0.1439,-0.0586
