symbol,date,year,revenueGrowth,grossProfitGrowth,ebitgrowth,operatingIncomeGrowth,netIncomeGrowth,epsgrowth,epsdilutedGrowth,weightedAverageSharesGrowth,weightedAverageSharesDilutedGrowth,dividendsperShareGrowth,operatingCashFlowGrowth,freeCashFlowGrowth,tenYRevenueGrowthPerShare,fiveYRevenueGrowthPerShare,threeYRevenueGrowthPerShare,tenYOperatingCFGrowthPerShare,fiveYOperatingCFGrowthPerShare,threeYOperatingCFGrowthPerShare,tenYNetIncomeGrowthPerShare,fiveYNetIncomeGrowthPerShare,threeYNetIncomeGrowthPerShare,tenYShareholdersEquityGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,threeYShareholdersEquityGrowthPerShare,tenYDividendperShareGrowthPerShare,fiveYDividendperShareGrowthPerShare,threeYDividendperShareGrowthPerShare,receivablesGrowth,inventoryGrowth,assetGrowth,bookValueperShareGrowth,debtGrowth,rdexpenseGrowth,sgaexpensesGrowth
CMG,2009-12-31,2009,0.13998008961176245,0.16929493867365317,0.6422657390014431,0.6422657390014431,0.6220173397099819,0.6694560669456067,0.6737288135593222,-0.030519440883843008,-0.031497013214264166,0.0,0.3131677976091523,2.091733827522303,0.0,0.0,0.8616893535757413,0.0,0.0,1.5387966910442918,0.0,0.0,2.0896611825165303,0.0,0.0,0.4975458771313434,0.0,0.0,0.0,0.30743892396376615,0.17226978492378367,0.16548179663872675,0.0,0.0,0.0,0.11209690987605855
CMG,2010-12-31,2010,-0.9990127876597799,-1.5317496365415864,0.41297955376647605,0.41297955376647605,0.4110213252394655,0.4360902255639098,0.4278481012658226,-0.016747465843984136,-0.011432309513425954,0.0,1108.4014339805044,1225.5272695591566,0.0,0.0,-0.9985558672746285,0.0,0.0,2057.9371979998377,0.0,0.0,1.6532489928552585,0.0,0.0,0.5089666543523368,0.0,0.0,0.0,1186.9067814402688,1263.3391521197007,0.16650979454085002,0.0,0.0,0.0,0.19607862913392973
CMG,2011-12-31,2011,0.39292861907938625,0.31633572071878885,0.21794386289176634,0.21794386289176634,0.20093752968192155,0.20244328097731223,0.19858156028368798,-0.0005442786706793878,0.0012604380022057666,0.0,-0.9985784619853315,-0.9985228156112197,0.0,-0.9973949382677451,-0.9983546095751494,0.0,3.074238906724993,1.1737004115999505,0.0,4.3276565255333415,1.8849729763109424,0.0,1.2620696888668883,0.7604537671885592,0.0,0.0,0.0,-0.9985173206079887,-0.9987442941673711,0.27077536209271535,0.0,0.1586276047773456,0.0,0.2600219242769205
CMG,2012-12-31,2012,1307.057471264368,-3.4981551168018767,0.3003833843942013,0.3003833843942013,0.29335411384307614,0.28011611030478967,0.29437869822485213,0.009482013005734055,0.00025177025963808025,0.0,0.021569171191157296,-0.1424240908793648,0.0,1.60795836221081,0.8131721708205214,0.0,1.9635155666209068,0.6240064935237633,0.0,3.084639475655248,1.2092467522840176,0.0,1.298036425208834,0.7853567334266233,0.0,0.0,0.0,1.0026224818214329,0.2449231459665657,0.17074134152056958,0.0,0.16591524524720136,0.0,0.22742360767202494
CMG,2013-12-31,2013,0.17697816070743375,0.16348905919452067,0.1685915786471872,0.1685915786471872,0.1778345323741007,0.19954648526077096,0.19657142857142865,-0.017643512201313744,-0.015794607179938962,0.0,0.2591109216764334,0.4751711330217202,0.0,1.5544446277888255,2162.679002161491,0.0,1.8194458257503368,-0.9981551588114238,0.0,3.431755358826956,0.8458265458133577,0.0,1.6151708764555774,0.9140512018818431,0.0,0.0,0.0,0.42952380952380953,0.17555875991348233,0.20412281180127612,0.0,0.15373195975026488,0.0,0.1108124464993539
CMG,2014-12-31,2014,0.2780067510921296,0.25510432366514607,0.3342844270911548,0.3342844270911548,0.3601781100544225,0.35633270321361055,0.34957020057306587,0.002616532609749007,0.0073846744029922315,0.0,0.2898880441771625,0.30598076958163806,0.0,1.7690871087850581,1977.908954716614,0.0,1.677933514453283,0.6687113595887894,0.0,2.5935220182581418,1.0839867275826613,0.0,1.9277662236218827,0.9382533875804732,0.0,0.0,0.0,0.4506578947368421,0.1754063170806501,0.26726240245261984,0.0,0.13839959738298943,0.0,0.34439192472500774
CMG,2015-12-31,2015,0.095649530252279,0.11540054516192054,0.07426702307259427,0.07426702307259427,0.06787104770372765,0.06620209059233458,0.06864826610049532,0.0017398028223468006,-0.0005712109672505713,0.0,0.0018311984013300747,-0.00833339154366823,0.0,3015.5313515756075,0.6703762241918396,0.0,-0.997626355016237,0.6491176921631604,0.0,1.6694124947070799,0.7339635616092228,0.0,1.6362854002504241,0.7310721086469667,0.0,0.0,0.0,0.09885473176612417,-0.018849465170884424,0.0702124860335744,0.0,0.1483405799083012,0.0,-0.08646681051636199
CMG,2016-12-31,2016,-0.13259485255451686,-0.1529945405799983,-0.9547308827130826,-0.9547308827130826,-0.9517705981051383,-0.9490196078431373,-0.9490066225165563,-0.05876109610189116,-0.0547405855083508,0.0,-0.488901181883638,-0.7877426050368868,4.19616203223326,1993.6406520414264,0.2848047650685223,2.692090545616462,-0.09379625737650087,-0.30134658721102037,-0.3935331662720947,-0.8861663039234322,-0.9258968263398417,2.240819297385072,0.43267880443084716,-0.03556405390616219,0.0,0.0,0.0,0.056630880547501504,-0.0015954264441933126,-0.25649397115519407,0.0,0.1467086306665291,0.0,0.10401496319150808
CMG,2017-12-31,2017,0.14650915483722912,0.15841317407724267,6.8338878120751,6.8338878120751,6.683886999738426,6.935897435897436,7.012987012987013,-0.02644797539723219,-0.04061135371179039,0.0,0.33748231885053914,1.7691150442477876,3.7277602109989236,0.8128204343688686,0.18701775464714784,2.645799291674318,0.2302278188575107,-0.25394041504198556,1.864359397203745,-0.2987485396751568,-0.5688804734225524,1.7835738657852305,0.21128361380619679,-0.2613572290881375,0.0,0.0,0.0,4.944253541321599e-05,0.32232505493042146,0.009668313999831204,0.0,0.09542548809907,0.0,0.07293657688966117
CMG,2018-12-31,2018,0.08680456579957341,0.10990913245362777,-0.045887279629533886,-0.045887279629533886,0.0017020986876819118,0.025848142164781783,0.022690437601296545,-0.023446000491383245,-0.020972655019081965,0.0,0.3306472848717098,0.33489661564027995,3.3013738006942055,0.6838782700165843,0.20780181950632773,2.687407319418346,0.3078482607258536,0.016484080938517644,1.6587451610977273,-0.40006951065063473,-0.5851642917385197,1.726361676358142,0.042517604070776774,-0.24308951039022522,0.0,0.0,0.0,0.5403554742540726,0.08534743202416918,0.10745801420741734,0.0,0.045772801091950026,0.0,0.26678542990944304
