symbol,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
USNA,2016-12-31,41.599462476741785,4.136489559644407,5.665908621046103,4.313913582799255,7.2678933223072155,13.449948315071325,17.34868720281166,13.449948315071325,5.370891048170353,1.4970515E9,1.4507285E9,14.964379604362213,1.4879999960241848,10.924990877909945,14.348919794502166,4.602248168540397,4.602248168540397,1.4419570751120931,9.537740624835639,10.586940815879734,13.904923705095273,0.06682535637551547,0.06969165723423676,0.4468515495547009,0.30884408956276743,-0.3045482038605165,2.0063469828364298,312.2117117117117,1.3697384072530263,0.0,0.0,0.2327780113569159,0.2327780113569159,0.10849860403448906,4.1907761942626465,30.768946112912104,0.4123187962566518,0.01644198341488724,35.380790587812086,0.4173463274233707,0.23843242496031727,2.5976431672524294,1.3937E8,2.74223E8,1.32506E8,105313000.0,1.17595E7,9493500.0,7.3379E7,0.0,18.31178200788057,131.28170264720572,86.29239214340852,19.932522123893804,2.780280820860978,0.3075468739912754,1.3519950382468473
USNA,2016-01-02,72.15231736056559,7.436920659858601,8.756166535742341,6.892144540455616,11.249803613511391,22.062215239591517,28.871641791044777,22.062215239591517,9.535271013354281,8.364882999999999E8,8.146472999999999E8,8.835646231198242,0.9107122598935872,7.5044255647461995,9.53404265019319,2.9783953826214513,2.9783953826214513,0.8869332465250369,5.372245449749406,7.30848240719143,9.285105485712982,0.11317791294869277,0.10488730087438164,0.5069752040220472,0.33641907489184547,-0.14403191769981535,1.8587648007792288,9444.133333333333,1.1773914145681934,0.0,0.0,0.2275397142511859,0.2275397142511859,0.1316071137447813,4.697458805680813,38.7078680096085,0.42049812465759195,0.012064248300760262,60.75924824374658,0.48543476398526514,0.25758565147359713,2.661783189316575,1.12852E8,2.25151E8,1.01879E8,92914000.0,1.2188E7,9995000.0,7.40335E7,0.0,22.956219235731016,151.13434826718102,73.38598593799937,15.899830727870158,2.415069798393805,0.3370885733411192,1.8640219952867243
USNA,2015-01-03,59.78904772710082,5.79653581423493,7.955903486876938,6.411315331669314,8.405264352167007,17.40897057711217,22.062703275092655,17.40897057711217,7.643521670070343,6.636942E8,6.534942E8,8.660345007568244,0.8396186577369695,6.309779911584352,7.829906564107404,2.883570845136511,2.883570845136511,0.8267149585500291,5.231636672217241,6.212807909873081,7.709572460006607,0.11546884092101453,0.1277154448539704,0.5231921586347127,0.34348401524313715,-0.08165748687075701,1.756377351547767,900.015503875969,1.3725272717782766,0.0,0.0,0.23344436418287326,0.23344436418287326,0.16798541861579536,5.150825130992605,38.70873120807013,0.43141863767690125,0.012403997110583436,47.64990799972062,0.4800003307438843,0.2627300808046871,1.0082444595718931,8.2222E7,1.71271E8,7.0507E7,71860000.0,9034500.0,8863000.0,6.3598E7,0.0,20.166590905862467,117.30272596843616,127.310516991464,18.09924154775678,3.111607142857143,0.33296258320154326,1.5445881552076242
JBSS,2019-06-27,76.6568382948501,3.452790832405526,7.3016386277234275,5.982761067329334,0.13919298166414615,22.27043962760322,32.1104473125256,22.27043962760322,2.6927849042368033,9.7716557526E8,1.00329357526E9,24.759681124512237,1.1152299247090565,11.70833074036353,14.28938896905709,3.8387208079197026,3.8387208079197026,1.145049566549228,13.276523114769283,12.021394640002876,14.671466648046326,0.04038824227869372,0.06998199868206029,0.5372080689831275,0.3494699773066465,0.34575024150114464,2.6856243891974354,19.12549019607843,2.114706329498809,0.029753401814492,0.7366847412963057,0.04335763141105751,0.04335763141105751,0.06203872181219717,5.536252072968491,58.12278606965174,1.1306799336650082,0.0030175724519830496,41.59496748461472,0.19038510335135558,0.10752858092570594,-0.9551691864008369,1.41434E8,2.30279E8,8.8591E7,310151000.0,6.31985E7,5.1446E7,1.65821E8,25.398755536686217,21.63366674513289,79.83185013601586,14.370782831182037,16.871850911825533,4.5721099959241895,0.15503918603052386,1.3188775603940937
JBSS,2018-06-28,78.06279144133222,2.8480868095453955,5.811608106066196,4.64944461428717,0.12729419454137192,21.340621343256835,34.126879544024995,21.340621343256835,3.337233859377251,8.877664091999999E8,9.208424091999999E8,27.383294546576185,0.9990675270511312,13.419693581642832,16.774046465753422,3.6545327685429885,3.6545327685429885,1.0362903338416263,12.87189378101455,13.919678465398917,17.399006314596125,0.03651861532947039,0.05961590735077792,0.7115493862227381,0.4157340664256698,0.4623492081242399,2.114477827173978,16.202425642506498,2.040530536705737,0.031956604469373075,0.8750771128932757,0.033522583404137996,0.033522583404137996,0.06567044998111951,5.000680323531635,67.1702320659158,1.1663768992365258,0.0031465403248949184,36.980382616905636,0.1879194855650077,0.08345582272974163,-3.076803466197198,1.30609E8,2.15618E8,7.4951E7,337772000.0,6.5426E7,6.034E7,1.74618E8,26.87443661060438,29.374239772945522,85.00614850301957,13.581680066028795,12.425853496851177,4.293807053110218,0.13345847638336586,1.1621634917790264
JBSS,2017-06-29,74.80991899991774,3.1920583532124565,4.653822265660724,3.6920075895439743,0.17274668735032117,20.806300243992546,35.17308113554041,20.806300243992546,2.7868326201236724,7.7658276438E8,8.0325676438E8,21.49710074408305,0.9172580443520525,14.744869073820917,18.586093970753655,3.298039497426402,3.298039497426402,0.948763947131881,10.869068432675263,15.251324606592238,19.224487575808343,0.04651790080461172,0.053803666417137484,0.690501469414103,0.40845954996621103,0.36093257377914295,2.306089758175348,20.049484536082474,1.4579377162629759,0.07270828376558051,1.5630173010380624,0.040379856726924825,0.040379856726924825,0.0,4.838585209003216,77.77997243913643,1.4293982544786403,0.002957590933519167,38.656639806103975,0.20245258270700173,0.09075287834215531,-1.8382279848043002,1.43504E8,398059000.0,9.0786E7,345248000.0,6.5128E7,5.51935E7,1.78519E8,27.94941149373697,25.921447343028074,94.48299447150042,13.059308961900355,14.081003856375007,3.8631290428681067,0.15341787419097286,0.9618146761167499
JBSS,2016-06-30,84.74818574903362,2.7056317999639488,7.94447201458077,6.607634430377494,0.1976148246724779,22.360117411690876,34.719411428278946,22.360117411690876,3.1851593046984705,5.2428961325E8,5.5435961325E8,17.249205897351537,0.5506902547531193,5.874525067788634,7.0630420753064795,2.0871983425095446,2.0871983425095446,0.5822744317841646,8.1647143945977,6.211451385465221,7.468134356055503,0.05797368330756265,0.14158205336142046,0.558188325311613,0.35822905116426423,0.4428767103112067,2.908670534116432,14.694158075601374,2.9362724132258595,0.042888509388184025,0.7397927290672808,0.03680654245167579,0.03680654245167579,0.003497646944604835,5.94273538420562,63.39452656811826,1.1043414569183647,0.002614333775532819,36.894586407764,0.16651792813170338,0.07792850421883052,-0.10152239078331579,1.58914E8,2.49824E8,1.0196E8,349320000.0,7.1757E7,5.20295E7,1.655955E8,29.93734631992345,19.589505653757527,70.1568578587291,12.192129392480279,18.632425261328027,5.2026275283733465,0.121002575708718,1.3368375842032763
JBSS,2015-06-25,79.5688469684928,2.628096028055026,1.2495226739085712,-0.0411634900828274,0.17451884902218326,21.63800557778743,38.46015185830289,21.63800557778743,3.554229714515502,5.7671203176E8,6.1043203176E8,19.679646195529774,0.6500031352783052,41.3918059111462,-1256.453228235294,2.39023877750976,2.39023877750976,0.6880084213041493,8.955474843536816,43.8119595033374,-1329.917280522876,0.05081392165612966,-7.958911462263612E-4,0.7901963709911388,0.4414020628103766,0.49469653624400334,2.120055180642034,13.080937972768533,0.47544787578911446,0.02905956365927579,0.5718819314110221,0.034411013868773564,0.034411013868773564,0.007128387373100119,0.9681072818232351,61.64848526959422,1.131461923290717,0.002200068752148505,35.77012750278299,0.1741899741463251,0.06833296024772884,-2.9582334961757413,1.50205E8,2.38199E8,9.3653E7,390661000.0,7.05305E7,5.3031E7,1.863075E8,31.115165484167278,22.098481307328363,95.69644817390083,11.730614133668276,16.51697213595206,3.814143648641141,0.1214574059798241,1.2906861639913985
JBSS,2014-06-26,70.5701190304632,2.3825125914163565,1.0830838615066558,0.18326322744489187,0.17075564812372715,20.55838184552052,35.289953785400755,20.55838184552052,3.930733388257921,2.924930481E8,3.296240481E8,11.126908665880473,0.37565474402213145,24.47640569874477,144.65531557863503,1.2894983758547265,1.2894983758547265,0.42334283914402626,5.209470684641401,27.58360235146444,163.01881706231455,0.08987222147930428,0.006912984814971402,0.7397003002288087,0.42518835004599465,0.5868287132155388,2.2219707567427895,10.793752870923289,0.45459732947844944,0.05675006673774001,0.6314528093734546,0.037568935889301866,0.037568935889301866,0.013294104827285606,1.2036663980660758,78.42687348912168,1.6396051571313457,0.0014191738738437906,33.197342983094394,0.16642821729584248,0.06751248828220308,-2.957861240189934,1.37143E8,2.21581E8,8.159E7,357221000.0,6.0613E7,5.26235E7,1.78724E8,26.157750487399536,24.995623378782078,101.76475432210407,13.953799283154122,14.60255639432605,3.5867034950500467,0.11589008363201912,0.8998206340617638
JJSF,2019-09-28,63.07075271103551,5.040346587284712,7.840686795662343,4.803901764830959,10.227248564745906,44.320167977886456,45.81681905166915,44.320167977886456,0.05618753986816925,3.58594344E9,3.39460544E9,37.81882787205096,3.0223200422760637,24.311645773869653,39.680245211406316,4.3009764785889315,4.3009764785889315,2.8610557384952386,20.413031221436476,23.014430199526778,37.56299520863994,0.026441855981978343,0.025201457165202806,0.22259403586922236,0.18206700616772242,-1.1505869052773368,4.176691357210023,,1.5555848511374302,0.010218789173094153,0.38646262879802573,0.1155925012242022,0.1155925012242022,0.1544461656033959,2.5819037949866965,20.768922419829156,0.8636745553844,0.00356514652077941,70.89606947386129,0.13022530773127863,0.11001083644852223,11.784180310440144,3.85123E8,6.76318E8,3.20769E8,,1.3664E8,7.08105E7,1.145245E8,43.356876223675435,31.44483342622649,50.71275562561746,8.418503171607373,11.607630260034153,7.197400249644901,0.11372580062872488,3.036785030831384
JJSF,2018-09-29,60.88932277736172,5.5416711244249495,6.599283192468172,3.3885203808708675,5.9633572269177275,40.606130309190114,41.282764523376485,40.606130309190114,0.05761206804322242,2.9422486599999995E9,2.8318466599999995E9,28.40118016139619,2.5848538433493076,23.84955993093777,46.44800157865656,3.876015734608894,3.876015734608894,2.48786236948338,17.893182656826564,22.95465286502873,44.705133159681104,0.03520980446295794,0.0215294515589991,0.22780140984414254,0.18553603866040494,-0.6975812566344841,3.2468214319035784,-105.4432,1.1908471369550948,0.011238343124948522,0.31918220780725126,0.11698681765669681,0.11698681765669681,0.17196433955320364,2.0553630335543636,18.964129819066343,0.7911932291493119,0.0033893689079432295,71.15532970694606,0.13606816735739713,0.13423691916966854,6.167941585535466,2.64898E8,5.98818E8,2.09875E8,543439000.0,1.32342E8,6.9592E7,1.12884E8,42.437244402665456,31.67299891892431,51.37623304350862,8.600935455108733,11.524011380618463,7.104452358172992,0.1364737561109274,3.210762811597304
