symbol,date,year,investmentValuationRatios.priceBookValueRatio,investmentValuationRatios.priceToBookRatio,investmentValuationRatios.priceToSalesRatio,investmentValuationRatios.priceEarningsRatio,investmentValuationRatios.receivablesTurnover,investmentValuationRatios.priceToFreeCashFlowsRatio,investmentValuationRatios.priceToOperatingCashFlowsRatio,investmentValuationRatios.priceCashFlowRatio,investmentValuationRatios.priceEarningsToGrowthRatio,investmentValuationRatios.priceSalesRatio,investmentValuationRatios.dividendYield,investmentValuationRatios.enterpriseValueMultiple,investmentValuationRatios.priceFairValue,profitabilityIndicatorRatios.niperEBT,profitabilityIndicatorRatios.ebtperEBIT,profitabilityIndicatorRatios.ebitperRevenue,profitabilityIndicatorRatios.grossProfitMargin,profitabilityIndicatorRatios.operatingProfitMargin,profitabilityIndicatorRatios.pretaxProfitMargin,profitabilityIndicatorRatios.netProfitMargin,profitabilityIndicatorRatios.effectiveTaxRate,profitabilityIndicatorRatios.returnOnAssets,profitabilityIndicatorRatios.returnOnEquity,profitabilityIndicatorRatios.returnOnCapitalEmployed,profitabilityIndicatorRatios.nIperEBT,profitabilityIndicatorRatios.eBTperEBIT,profitabilityIndicatorRatios.eBITperRevenue,operatingPerformanceRatios.receivablesTurnover,operatingPerformanceRatios.payablesTurnover,operatingPerformanceRatios.inventoryTurnover,operatingPerformanceRatios.fixedAssetTurnover,operatingPerformanceRatios.assetTurnover,liquidityMeasurementRatios.currentRatio,liquidityMeasurementRatios.quickRatio,liquidityMeasurementRatios.cashRatio,liquidityMeasurementRatios.daysOfSalesOutstanding,liquidityMeasurementRatios.daysOfInventoryOutstanding,liquidityMeasurementRatios.operatingCycle,liquidityMeasurementRatios.daysOfPayablesOutstanding,liquidityMeasurementRatios.cashConversionCycle,debtRatios.debtRatio,debtRatios.debtEquityRatio,debtRatios.longtermDebtToCapitalization,debtRatios.totalDebtToCapitalization,debtRatios.interestCoverage,debtRatios.cashFlowToDebtRatio,debtRatios.companyEquityMultiplier,cashFlowIndicatorRatios.operatingCashFlowPerShare,cashFlowIndicatorRatios.freeCashFlowPerShare,cashFlowIndicatorRatios.cashPerShare,cashFlowIndicatorRatios.payoutRatio,cashFlowIndicatorRatios.receivablesTurnover,cashFlowIndicatorRatios.operatingCashFlowSalesRatio,cashFlowIndicatorRatios.freeCashFlowOperatingCashFlowRatio,cashFlowIndicatorRatios.cashFlowCoverageRatios,cashFlowIndicatorRatios.shortTermCoverageRatios,cashFlowIndicatorRatios.capitalExpenditureCoverageRatios,cashFlowIndicatorRatios.dividendpaidAndCapexCoverageRatios,cashFlowIndicatorRatios.dividendPayoutRatio
WSM,2014-02-02,2014,4.544051490363868,4.544051490363868,1.3007024015420627,20.463595671597908,71.1655,21.966844844043475,12.577628176451013,12.577628176451013,5.928349366399642,1.3007024015420627,0.019550446231168906,8.578326507512655,4.544051490363868,0.6214892460179515,0.9926254927029096,0.10303314418391167,0.3883908640350747,0.10303314418391167,0.10227332551028524,0.0635617719591357,0.38724140082537817,0.11935547648983581,0.22205537889270877,0.30637459864817795,0.6214892460179515,0.9926254927029096,0.10303314418391167,71.1655,6.629774377394754,3.3003012937183334,5.1665196816646315,1.8777871165481395,1.648019500729303,0.3833730501593318,0.3833730501593318,0.0,110.59596307001635,110.59596307001635,55.05466388788798,-55.05466388788798,0.46249680109075314,0.8604540438629875,0.0015644252247668862,1968000.001416942,,120.90833999467092,1.8604540438629875,4.694048764340171,2.687686848938129,3.4149623974593717,0.4000724268739557,71.1655,0.10341396512081322,0.5725732696592319,120.90833999467092,254.212324929972,2.339582269931375,1.485166953595999,0.40007242687395567
BWA,2018-12-31,2018,1.995002258324657,1.995002258324657,0.8006837433216836,9.058643541076608,5.296579476861167,14.538505852181409,7.484136301535729,7.484136301535729,4.288857225678297,0.8006837433216836,0.016783539518847944,6.008504622352941,1.995002258324657,0.8149737302977232,0.951111851420005,0.1140309223522261,0.21172694119434737,0.11300524236438231,0.1084561616775566,0.08838892265613128,0.1850262697022767,0.0921941555225359,0.2202318977756744,0.15601611226611226,0.8149737302977232,0.951111851420005,0.1140309223522261,5.296579476861167,3.8713619402985073,10.62765685019206,3.625895316804408,1.0430510153541357,1.586077532305127,1.1367236348478533,0.30804501875781576,68.91239933140861,34.344353148116916,103.25675247952552,94.28206549239778,-25.36966616098917,0.5695889053987122,1.3606247042120208,0.3147397437976326,0.33343848580441643,20.454855195911414,0.5328760643330179,2.3887837198296262,5.408773754119575,2.7843301376066947,3.5482324050549185,0.15203610185881594,5.296579476861167,0.10698412095426227,0.514780292942743,0.5328760643330179,6.511560693641618,-2.060922063666301,-2.7807948654653174,0.15203610185881591
BWA,2017-12-31,2017,3.2174880712656044,3.2174880712656044,1.2203687674915555,27.18517768420095,4.8537817623458315,19.278993492310175,10.131966163924425,10.131966163924425,13.029511384371958,1.2203687674915555,0.010377330383271734,9.076916692212214,3.2174880712656044,0.4311899627524015,0.9353626111671404,0.11130386864367862,0.2158929719469758,0.10939556907126019,0.10410947720755565,0.04489096159929791,0.5688100372475985,0.04494462380971842,0.11835449849332759,0.14814462675214604,0.4311899627524015,0.9353626111671404,0.11130386864367862,4.8537817623458315,3.3844425846804387,10.027012919222237,3.421782247363643,1.0011953900854142,1.4609929078014185,1.057314860630051,0.22484743526307108,75.19909585378547,36.40166846701459,111.60076432080005,107.84641513854002,-32.64731928475456,0.6091074420695574,1.6039873009040035,0.36142943046130055,0.370577974970788,15.470921985815602,0.5393684595347987,2.63334050796384,5.598123708896258,2.9420623033367357,2.5863397936635852,0.2821095703568993,4.8537817623458315,0.12044737889441083,0.52554435313056,0.5393684595347987,13.951536643026005,-2.1076785714285715,-2.707731130993347,0.28210957035689926
BWA,2016-12-31,2016,2.6842427021968125,2.6842427021968125,0.9523424416800794,14.518820652907564,5.369679749008465,16.14408201921136,8.340927187872937,8.340927187872937,7.029553467023204,0.9523424416800794,0.0131269777243202,7.563179584952795,2.6842427021968125,0.660377358490566,0.914163961038961,0.10865395215521993,0.21262264358946092,0.10728695843898137,0.09932752728475361,0.06559365009370521,0.33962264150943394,0.0673480706758577,0.18488021626324458,0.1461685624879503,0.660377358490566,0.914163961038961,0.10865395215521993,5.369679749008465,3.8663454771829158,11.138958203368684,3.6257894316092414,1.0267468052112692,1.3919112725882015,1.0196959556362941,0.21211396883067216,67.97425862639179,32.76787589431976,100.74213452071155,94.40439354269634,-26.430134916304553,0.6262578242611521,1.7191685051113943,0.38837682206047247,0.4081613887969399,11.650118203309693,0.4666366298715927,2.7451449523040115,4.86276874098255,2.512375739403073,2.083238862966069,0.19058823529411764,5.369679749008465,0.11417704773453864,0.5166554021434778,0.4666366298715927,5.8880045480386585,-2.068917299240911,-2.674845041322314,0.19058823529411767
BWA,2015-12-31,2015,1.8518452638545742,1.8518452638545742,0.8202341352776947,11.401425007207207,4.818738738738738,22.645913675705437,7.58255849079387,7.58255849079387,5.809444127979963,0.8202341352776947,0.01773313003025024,7.015092687738867,1.8518452638545742,0.6882079408608561,0.9328217105994884,0.11206251869578224,0.21227191145677535,0.11071642237511217,0.10453435038388673,0.07194137002692193,0.31179205913914393,0.06539991162174105,0.16242226411908714,0.13899667620004638,0.6882079408608561,0.9328217105994884,0.11206251869578224,4.818738738738738,3.3862516073724818,8.73424543946932,3.2773171030595156,0.9090723681974234,1.3300526047853385,0.9514254199898184,0.24507890717800782,75.74596171103799,41.78952864669863,117.53549035773662,107.78880081011376,-32.04283909907576,0.5885312213195554,1.4616315389593943,0.37242609402041466,0.41780799475753605,14.885761589403973,0.3403129043641924,2.483524214199285,3.8720439856344715,1.296481140944092,2.577347402351693,0.20218295218295218,4.818738738738738,0.10817379599162429,0.33483120175135384,0.3403129043641924,1.9662437698232895,-1.5033777931751255,-1.8842813721233174,0.20218295218295218
BWA,2014-12-31,2014,3.395954055132459,3.395954055132459,1.478663598773043,18.725905846553825,5.753446484239695,51.42566605598827,15.316100092504364,15.316100092504364,9.67896554656147,1.478663598773043,0.0094540516790448,9.749581093499089,3.395954055132459,0.6914803880219317,0.963038180341186,0.11857774138782194,0.21148450951824782,0.11603713380934606,0.11419489229509579,0.07896352843433553,0.3085196119780683,0.09073049252905369,0.18135058901609424,0.19463219890114233,0.6914803880219317,0.963038180341186,0.11857774138782194,5.753446484239695,4.279356988825721,12.949772592446115,3.966330770332872,1.1490177089097953,1.3701688036159025,1.0337146019739876,0.36795498570242596,63.44023551793477,28.185823140470625,91.62605865840538,85.29318796096935,-21.85295244303458,0.489360819037078,0.9781262098335269,0.16533179457588,0.27036842742423634,27.054945054945055,0.5983582089552238,1.9987832531386538,3.5263545990034544,1.0502537768047204,3.508762408437211,0.17703568161024702,5.753446484239695,0.0965430879820833,0.2978298827637815,0.5983582089552238,1.285553952220619,-1.4241563055062167,-1.7941373909151936,0.17703568161024702
CAL,2020-02-01,2020,6.820059137704157E-4,6.820059137704157E-4,1.507897898452951E-4,0.007012873812063229,18.014206349695712,0.0034893564509358194,0.002579495508999567,0.002579495508999567,-5.129283701982508E-5,1.507897898452951E-4,25.92716984897594,3.899290593060248,6.820059137704157E-4,0.7992951026172814,0.7570631809118319,0.035533389330775794,0.4053858860431509,0.035533389330775794,0.026901020755335674,0.021501854145145646,0.21008232285318032,0.02583329323804225,0.09725056118894651,0.06567296554751932,0.7992951026172814,0.7570631809118319,0.035533389330775794,18.014206349695712,6.505935929412998,2.809160971918125,12.993613406509343,1.2014449109206002,1.0368400023503144,0.24372642340913098,0.05313825724190611,20.261786332105906,129.9320343863293,150.1938207184352,56.102612131461974,-35.84082579935607,0.7343635561356693,2.7645436953324563,0.4933653965310883,6.290320000911493E8,17.30216666666667,0.22563849169178005,3.7645436953324563,4291.536837873153,3172.504774349181,1136.2448487285155,0.1818239704547987,18.014206349695712,0.058457085627482835,0.7392467766678767,0.22563849169178005,1.3356325614496085,3.835043675476613,3.052202662854079,0.18182397045479873
CAL,2019-02-02,2019,2.0112328780086206,2.0112328780086206,0.4498403934464165,-234.3738724499173,16.4656,19.00319256102286,9.840559306731281,9.840559306731281,1798.661168538641,0.4498403934464165,0.009396749243884374,27.2242334782875,2.0112328780086206,0.9456030587417449,-14.349127182044887,1.414538920279973E-4,0.40790363921003114,1.414538920279973E-4,-0.0020297398871049785,-0.0019193282456965916,0.04744525547445255,-0.002959368377998529,-0.008581301563118541,4.0701073452750216E-4,0.9456030587417449,-14.349127182044887,1.414538920279973E-4,16.4656,5.306710760105976,2.456928060470951,12.283546519689407,1.541877156569678,1.1442702522804615,0.035390514404642484,0.035390514404642484,0.0,148.55949829073782,148.55949829073782,68.78083553072919,-68.78083553072919,0.6551375853381545,1.8997071222752673,0.23790332758403096,1.9793200028706452E8,0.02194014334956503,0.2431623546718906,2.899707122275267,3.103482134304052,1.6070983810709838,0.7232493533863397,-2.2023525087300126,16.4656,0.045712888813007835,0.5178371621048082,0.2431623546718906,0.3868328358208955,2.0739881247699374,1.740243869685494,-2.2023525087300126
CAL,2018-02-03,2018,1.6697352293902763,1.6697352293902763,0.43007737695219384,13.738723165137614,18.2223,8.168945211550918,6.260047864141083,6.260047864141083,-105.54904742251745,0.43007737695219384,0.01003909244467435,6.467641721153005,1.6697352293902763,0.7106416964125634,0.8762773957195192,0.050269889545603366,0.4195346469537447,0.050269889545603366,0.0440503678941292,0.03130402816788149,0.2891056672045377,0.058546476301098084,0.12153496429910424,0.1321975046636507,0.7106416964125634,0.8762773957195192,0.050269889545603366,18.2223,5.9236633670620815,2.839821981492117,13.09021189009347,1.8702537573476834,1.9685488389177026,0.14889145641495355,0.14889145641495355,0.0,128.52918330050375,128.52918330050375,61.61727589544416,-61.61727589544416,0.5182746246009339,1.0758715464627333,0.21582559256624054,0.21582559256624,7.741223948255846,0.96912473667153,2.075871546462733,4.578239755029784,3.50840888973948,1.5321882251620775,0.1379243119266055,18.2223,0.06870193108518716,0.7663226649248857,0.96912473667153,,4.279405187835421,3.3724249740074366,0.1379243119266055
CAL,2017-01-28,2017,2.1050117024972397,2.1050117024972397,0.5003584028459463,19.65668250632063,16.8156,9.696680365742793,7.028670093997452,7.028670093997452,-151.8271896729702,0.5003584028459463,0.009378449460578768,9.134513095082976,2.1050117024972397,0.6751187611820594,0.8762805784565482,0.04302764841892728,0.4117220829126909,0.04302764841892728,0.037704292646162575,0.02545487534252311,0.3204803915520184,0.04450566098613613,0.10708885905952698,0.11711256355006658,0.6751187611820594,0.8762805784565482,0.04302764841892728,16.8156,5.696576191012501,2.5904579318633445,11.767495757221846,1.7484140223538287,1.5992285749485875,0.10487589912717141,0.10487589912717141,0.0,140.90172842044632,140.90172842044632,64.07357468085148,-64.07357468085148,0.5844043780371497,1.4061851163807235,0.24317755394262577,1.9700300011954963E8,7.344649593011713,0.5981114191066537,2.4061851163807235,4.369247608623233,3.167063246561652,1.3166135249607387,0.18434920344817082,16.8156,0.07118820433374118,0.7248532310943133,0.5981114191066537,1.6692909090909092,3.634423925736793,2.9319941878103695,0.18434920344817085
CAL,2016-01-30,2016,2.0003436500389036,2.0003436500389036,0.4668117853831142,14.766684667214866,17.7564,15.899656416423294,8.066768799613817,8.066768799613817,-115.2213926753551,0.4668117853831142,0.01018389100103252,6.827271952395412,2.0003436500389036,0.7491219682621407,0.8050360084969691,0.052419270358457844,0.406530148248449,0.052419270358457844,0.04219940017769639,0.03161249772059765,0.2477060846220326,0.06251635243143872,0.13546328746899336,0.1479774901864573,0.7491219682621407,0.8050360084969691,0.052419270358457844,17.7564,6.432355489020277,2.79769728118227,14.39824590804983,1.9775834539864638,2.2420375148283753,0.30271919733332653,0.30271919733332653,0.0,130.46443675484286,130.46443675484286,56.74437624335868,-56.74437624335868,0.5384996658541282,1.1668456683802062,0.2462870976958202,0.24628709769582,8.144372777141479,0.75887333116249,2.166845668380206,3.51317865975739,1.7824284536568131,2.782970203745142,0.15038230709753433,17.7564,0.05786849691359222,0.5073549131087749,0.75887333116249,,2.0298588712421237,1.7397471189287548,0.15038230709753436
